npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  12/3/2025 11:54:06 PM ::1 Returned 200 in 2 ms
 HTTP  12/3/2025 11:57:54 PM ::1 GET /
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 11 ms
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/chunks/32cef3bffc2dbfce.css
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 6 ms
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 32 ms
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 31 ms
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/chunks/1e510328958fd3cb.js
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/chunks/turbopack-340acf9f5b7c65ea.js
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/chunks/42879de7b8087bc9.js
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  12/3/2025 11:57:54 PM ::1 GET /_next/static/chunks/5b49201301e804ea.js
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 13 ms
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 9 ms
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 10 ms
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 12 ms
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 12 ms
 HTTP  12/3/2025 11:57:54 PM ::1 Returned 200 in 24 ms
 HTTP  12/4/2025 12:00:44 AM ::1 GET /
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 13 ms
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/chunks/32cef3bffc2dbfce.css
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 7 ms
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 5 ms
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 6 ms
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 3 ms
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/chunks/1e510328958fd3cb.js
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/chunks/turbopack-340acf9f5b7c65ea.js
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/chunks/42879de7b8087bc9.js
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 10 ms
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 10 ms
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 14 ms
 HTTP  12/4/2025 12:00:44 AM ::1 GET /_next/static/chunks/5b49201301e804ea.js
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 31 ms
 HTTP  12/4/2025 12:00:44 AM ::1 Returned 200 in 13 ms
